period;year;weight
y1900;y1898;1
y1900;y1899;1
y1900;y1900;1
y1900;y1901;1
y1900;y1902;1
y1905;y1903;1
y1905;y1904;1
y1905;y1905;1
y1905;y1906;1
y1905;y1907;1
y1910;y1908;1
y1910;y1909;1
y1910;y1910;1
y1910;y1911;1
y1910;y1912;1
y1915;y1913;1
y1915;y1914;1
y1915;y1915;1
y1915;y1916;1
y1915;y1917;1
y1920;y1918;1
y1920;y1919;1
y1920;y1920;1
y1920;y1921;1
y1920;y1922;1
y1925;y1923;1
y1925;y1924;1
y1925;y1925;1
y1925;y1926;1
y1925;y1927;1
y1930;y1928;1
y1930;y1929;1
y1930;y1930;1
y1930;y1931;1
y1930;y1932;1
y1935;y1933;1
y1935;y1934;1
y1935;y1935;1
y1935;y1936;1
y1935;y1937;1
y1940;y1938;1
y1940;y1939;1
y1940;y1940;1
y1940;y1941;1
y1940;y1942;1
y1945;y1943;1
y1945;y1944;1
y1945;y1945;1
y1945;y1946;1
y1945;y1947;1
y1950;y1948;1
y1950;y1949;1
y1950;y1950;1
y1950;y1951;1
y1950;y1952;1
y1955;y1953;1
y1955;y1954;1
y1955;y1955;1
y1955;y1956;1
y1955;y1957;1
y1960;y1958;1
y1960;y1959;1
y1960;y1960;1
y1960;y1961;1
y1960;y1962;1
y1965;y1963;1
y1965;y1964;1
y1965;y1965;1
y1965;y1966;1
y1965;y1967;1
y1970;y1968;1
y1970;y1969;1
y1970;y1970;1
y1970;y1971;1
y1970;y1972;1
y1975;y1973;1
y1975;y1974;1
y1975;y1975;1
y1975;y1976;1
y1975;y1977;1
y1980;y1978;1
y1980;y1979;1
y1980;y1980;1
y1980;y1981;1
y1980;y1982;1
y1985;y1983;1
y1985;y1984;1
y1985;y1985;1
y1985;y1986;1
y1985;y1987;1
y1990;y1988;1
y1990;y1989;1
y1990;y1990;1
y1990;y1991;1
y1990;y1992;1
y1995;y1993;1
y1995;y1994;1
y1995;y1995;1
y1995;y1996;1
y1995;y1997;1
y2000;y1998;1
y2000;y1999;1
y2000;y2000;1
y2000;y2001;1
y2000;y2002;1
y2005;y2003;1
y2005;y2004;1
y2005;y2005;1
y2005;y2006;1
y2005;y2007;1
y2010;y2008;1
y2010;y2009;1
y2010;y2010;1
y2010;y2011;1
y2010;y2012;1
y2015;y2013;1
y2015;y2014;1
y2015;y2015;1
y2015;y2016;1
y2015;y2017;1
y2020;y2018;1
y2020;y2019;1
y2020;y2020;1
y2020;y2021;1
y2020;y2022;1
y2025;y2023;1
y2025;y2024;1
y2025;y2025;1
y2025;y2026;1
y2025;y2027;1
y2030;y2028;1
y2030;y2029;1
y2030;y2030;1
y2030;y2031;1
y2030;y2032;1
y2035;y2033;1
y2035;y2034;1
y2035;y2035;1
y2035;y2036;1
y2035;y2037;1
y2040;y2038;1
y2040;y2039;1
y2040;y2040;1
y2040;y2041;1
y2040;y2042;1
y2045;y2043;1
y2045;y2044;1
y2045;y2045;1
y2045;y2046;1
y2045;y2047;1
y2050;y2048;1
y2050;y2049;1
y2050;y2050;1
y2050;y2051;1
y2050;y2052;1
y2055;y2053;1
y2055;y2054;1
y2055;y2055;1
y2055;y2056;1
y2055;y2057;1
y2060;y2058;1
y2060;y2059;1
y2060;y2060;1
y2060;y2061;1
y2060;y2062;1
y2060;y2063;1
y2060;y2064;1
y2060;y2065;0.5
y2070;y2065;0.5
y2070;y2066;1
y2070;y2067;1
y2070;y2068;1
y2070;y2069;1
y2070;y2070;1
y2070;y2071;1
y2070;y2072;1
y2070;y2073;1
y2070;y2074;1
y2070;y2075;0.5
y2080;y2075;0.5
y2080;y2076;1
y2080;y2077;1
y2080;y2078;1
y2080;y2079;1
y2080;y2080;1
y2080;y2081;1
y2080;y2082;1
y2080;y2083;1
y2080;y2084;1
y2080;y2085;0.5
y2090;y2085;0.5
y2090;y2086;1
y2090;y2087;1
y2090;y2088;1
y2090;y2089;1
y2090;y2090;1
y2090;y2091;1
y2090;y2092;1
y2090;y2093;1
y2090;y2094;1
y2090;y2095;0.5
y2100;y2095;0.5
y2100;y2096;1
y2100;y2097;1
y2100;y2098;1
y2100;y2099;1
y2100;y2100;1
y2100;y2101;1
y2100;y2102;1
y2100;y2103;1
y2100;y2104;1
y2100;y2105;0.5
y2110;y2105;0.5
y2110;y2106;1
y2110;y2107;1
y2110;y2108;1
y2110;y2109;1
y2110;y2110;1
y2110;y2111;1
y2110;y2112;1
y2110;y2113;1
y2110;y2114;1
y2110;y2115;1
y2110;y2116;1
y2110;y2117;1
y2110;y2118;1
y2110;y2119;1
y2110;y2120;0.5
y2130;y2120;0.5
y2130;y2121;1
y2130;y2122;1
y2130;y2123;1
y2130;y2124;1
y2130;y2125;1
y2130;y2126;1
y2130;y2127;1
y2130;y2128;1
y2130;y2129;1
y2130;y2130;1
y2130;y2131;1
y2130;y2132;1
y2130;y2133;1
y2130;y2134;1
y2130;y2135;1
y2130;y2136;1
y2130;y2137;1
y2130;y2138;1
y2130;y2139;1
y2130;y2140;0.5
y2150;y2140;0.5
y2150;y2141;1
y2150;y2142;1
y2150;y2143;1
y2150;y2144;1
y2150;y2145;1
y2150;y2146;1
y2150;y2147;1
y2150;y2148;1
y2150;y2149;1
y2150;y2150;1
y2150;y2151;1
y2150;y2152;1
y2150;y2153;1
y2150;y2154;1
y2150;y2155;1
y2150;y2156;1
y2150;y2157;1
y2150;y2158;1
y2150;y2159;1
y2150;y2160;1
y2150;y2161;1
y2150;y2162;1
y2150;y2163;1
y2150;y2164;1
y2150;y2165;1
y2150;y2166;1
y2150;y2167;0.5
